source_GEOID,isolation_score,isolation_rank,county_name
48477,3.1200150028135436,2125,"Washington County, Texas"
29051,3.11927024257357,2126,"Cole County, Missouri"
21207,3.118477948633989,2127,"Russell County, Kentucky"
21023,3.118109646439365,2128,"Bracken County, Kentucky"
05081,3.1168367773576895,2129,"Little River County, Arkansas"
45077,3.116637734371413,2130,"Pickens County, South Carolina"
48133,3.115582754262571,2131,"Eastland County, Texas"
29157,3.115498288019962,2132,"Perry County, Missouri"
18053,3.115318512430777,2133,"Grant County, Indiana"
36083,3.1151270120834753,2134,"Rensselaer County, New York"
45025,3.1147631627258185,2135,"Chesterfield County, South Carolina"
28067,3.114760473943685,2136,"Jones County, Mississippi"
27027,3.1146378497287808,2137,"Clay County, Minnesota"
48363,3.1123010958414628,2138,"Palo Pinto County, Texas"
13297,3.112015051579002,2139,"Walton County, Georgia"
47167,3.1112804281119324,2140,"Tipton County, Tennessee"
13137,3.110838878917731,2141,"Habersham County, Georgia"
46077,3.110388438502158,2142,"Kingsbury County, South Dakota"
48337,3.11014586036402,2143,"Montague County, Texas"
46093,3.1100822808263455,2144,"Meade County, South Dakota"
47033,3.1096461491804988,2145,"Crockett County, Tennessee"
47087,3.1093645272840726,2146,"Jackson County, Tennessee"
24023,3.1091109010023295,2147,"Garrett County, Maryland"
05121,3.108981434158062,2148,"Randolph County, Arkansas"
45045,3.10753969603562,2149,"Greenville County, South Carolina"
21003,3.1074091252052463,2150,"Allen County, Kentucky"
48161,3.1073755522979027,2151,"Freestone County, Texas"
19173,3.1070427033185366,2152,"Taylor County, Iowa"
12063,3.106871970329817,2153,"Jackson County, Florida"
13305,3.1065335815888733,2154,"Wayne County, Georgia"
05135,3.1062848120996707,2155,"Sharp County, Arkansas"
48049,3.1061511215985877,2156,"Brown County, Texas"
36019,3.1054058526333628,2157,"Clinton County, New York"
31095,3.10535947736165,2158,"Jefferson County, Nebraska"
45057,3.1052368192954627,2159,"Lancaster County, South Carolina"
27013,3.105147311314051,2160,"Blue Earth County, Minnesota"
01001,3.105109024887352,2161,"Autauga County, Alabama"
29225,3.103892415146566,2162,"Webster County, Missouri"
31019,3.102216701163043,2163,"Buffalo County, Nebraska"
17057,3.1021845377034833,2164,"Fulton County, Illinois"
39127,3.10196180406842,2165,"Perry County, Ohio"
29137,3.101390860897017,2166,"Monroe County, Missouri"
47085,3.1009734147183026,2167,"Humphreys County, Tennessee"
19003,3.1006157791601834,2168,"Adams County, Iowa"
26051,3.099322664856907,2169,"Gladwin County, Michigan"
20019,3.0992327026636377,2170,"Chautauqua County, Kansas"
28035,3.0989510271680496,2171,"Forrest County, Mississippi"
12121,3.0975221892977034,2172,"Suwannee County, Florida"
27169,3.0966698372774126,2173,"Winona County, Minnesota"
13285,3.096012522280242,2174,"Troup County, Georgia"
51011,3.095375476360844,2175,"Appomattox County, Virginia"
42069,3.0952415112785783,2176,"Lackawanna County, Pennsylvania"
18039,3.093614089395615,2177,"Elkhart County, Indiana"
40109,3.093240653547906,2178,"Oklahoma County, Oklahoma"
42079,3.0910796600384476,2179,"Luzerne County, Pennsylvania"
47183,3.090772008412571,2180,"Weakley County, Tennessee"
27125,3.09068104410654,2181,"Red Lake County, Minnesota"
55031,3.0899742740829885,2182,"Douglas County, Wisconsin"
17145,3.0894200304837147,2183,"Perry County, Illinois"
26137,3.0885099326637793,2184,"Otsego County, Michigan"
55103,3.088402036719478,2185,"Richland County, Wisconsin"
29081,3.086790339243887,2186,"Harrison County, Missouri"
36023,3.0865385504675387,2187,"Cortland County, New York"
39107,3.085893979196314,2188,"Mercer County, Ohio"
31159,3.0852913255304344,2189,"Seward County, Nebraska"
51185,3.0823472298299466,2190,"Tazewell County, Virginia"
37069,3.082117865938815,2191,"Franklin County, North Carolina"
21039,3.0813719611177675,2192,"Carlisle County, Kentucky"
21007,3.0813699084228308,2193,"Ballard County, Kentucky"
45091,3.0811234800613767,2194,"York County, South Carolina"
47045,3.080535775164071,2195,"Dyer County, Tennessee"
54077,3.0798187198698903,2196,"Preston County, West Virginia"
40089,3.0796095085665227,2197,"McCurtain County, Oklahoma"
48015,3.077299734886263,2198,"Austin County, Texas"
29011,3.07444443956197,2199,"Barton County, Missouri"
47051,3.074344188288636,2200,"Franklin County, Tennessee"
36099,3.074299233096924,2201,"Seneca County, New York"
47177,3.073249496344127,2202,"Warren County, Tennessee"
31003,3.0724331723483926,2203,"Antelope County, Nebraska"
21175,3.072428959167721,2204,"Morgan County, Kentucky"
23003,3.0722597175109323,2205,"Aroostook County, Maine"
20077,3.072138145860638,2206,"Harper County, Kansas"
48365,3.0721198112102384,2207,"Panola County, Texas"
21103,3.0715504058512537,2208,"Henry County, Kentucky"
51067,3.0712031408350713,2209,"Franklin County, Virginia"
21077,3.0707249472691585,2210,"Gallatin County, Kentucky"
13215,3.0706853583156204,2211,"Muscogee County, Georgia"
46101,3.070272704585055,2212,"Moody County, South Dakota"
36091,3.069949929469919,2213,"Saratoga County, New York"
31059,3.0694809618169097,2214,"Fillmore County, Nebraska"
47035,3.0694402249922312,2215,"Cumberland County, Tennessee"
20059,3.0690280198652884,2216,"Franklin County, Kansas"
18009,3.0690145900032473,2217,"Blackford County, Indiana"
13075,3.0685056647521813,2218,"Cook County, Georgia"
28023,3.068231732166445,2219,"Clarke County, Mississippi"
05059,3.0682017353057405,2220,"Hot Spring County, Arkansas"
19153,3.0674440870701627,2221,"Polk County, Iowa"
42115,3.0662801831944693,2222,"Susquehanna County, Pennsylvania"
38067,3.0662479110493344,2223,"Pembina County, North Dakota"
05071,3.0658534309608596,2224,"Johnson County, Arkansas"
37033,3.065303505742446,2225,"Caswell County, North Carolina"
13279,3.063257661518582,2226,"Toombs County, Georgia"
48281,3.0631663130453273,2227,"Lampasas County, Texas"
18167,3.0612878912781594,2228,"Vigo County, Indiana"
21067,3.061144056823154,2229,"Fayette County, Kentucky"
51015,3.0610726495383216,2230,"Augusta County, Virginia"
